Index,QuoteDate,QuoteTime,TOSsymbol,Expiration,Strike,P/C,Mark,Extrinsic,SPX,VIX,ImpVol,Delta,Gamma,Theta,Vega,Rho,OpenInterest,Root
180102.SPX180116C2575,1/2/2018,3:45:00 PM,.SPX180116C2575,1/16/2018,2575,C,120.0999985,1.070000052,2694.030029,,0.1312,0.9616,0.001202,-0.205613,0.43993,94.973494,2,SPXW
180102.SPX180116P2575,1/2/2018,3:45:00 PM,.SPX180116P2575,1/16/2018,2575,P,1.379999995,1.379999995,2694.030029,,0.1374,-0.0455,0.001317,-0.247371,0.505055,-4.763924,972,SPXW
180102.SPX180116C2580,1/2/2018,3:45:00 PM,.SPX180116C2580,1/16/2018,2580,C,115.1999969,1.169999957,2694.030029,,0.1287,0.9579,0.001322,-0.21777,0.474814,94.770559,17,SPXW
180102.SPX180116P2580,1/2/2018,3:45:00 PM,.SPX180116P2580,1/16/2018,2580,P,1.419999957,1.419999957,2694.030029,,0.1336,-0.0481,0.001416,-0.25146,0.528056,-5.034792,51,SPXW
180102.SPX180116C2585,1/2/2018,3:45:00 PM,.SPX180116C2585,1/16/2018,2585,C,110.3000031,1.269999981,2694.030029,,0.126,0.954,0.00145,-0.228718,0.509534,94.559881,1,SPXW
180102.SPX180116P2585,1/2/2018,3:45:00 PM,.SPX180116P2585,1/16/2018,2585,P,1.529999971,1.529999971,2694.030029,,0.1307,-0.052,0.001543,-0.261795,0.562303,-5.447026,94,SPXW
180102.SPX180116C2590,1/2/2018,3:45:00 PM,.SPX180116C2590,1/16/2018,2590,C,105.3499985,1.320000052,2694.030029,,0.1222,0.9511,0.00157,-0.233115,0.535311,94.447438,0,SPXW
180102.SPX180116P2590,1/2/2018,3:45:00 PM,.SPX180116P2590,1/16/2018,2590,P,1.580000043,1.580000043,2694.030029,,0.1266,-0.0549,0.001662,-0.264797,0.58696,-5.74877,802,SPXW
180102.SPX180116C2595,1/2/2018,3:45:00 PM,.SPX180116C2595,1/16/2018,2595,C,100.4000015,1.370000005,2694.030029,,0.1183,0.948,0.001702,-0.236795,0.561696,94.322397,1,SPXW
180102.SPX180116P2595,1/2/2018,3:45:00 PM,.SPX180116P2595,1/16/2018,2595,P,1.669999957,1.669999957,2694.030029,,0.1233,-0.0593,0.001811,-0.273891,0.623238,-6.202939,2479,SPXW
180102.SPX180116C2600,1/2/2018,3:45:00 PM,.SPX180116C2600,1/16/2018,2600,C,95.55000305,1.519999981,2694.030029,,0.116,0.9422,0.001888,-0.252341,0.610674,93.90854,34,SPXW
180102.SPX180116P2600,1/2/2018,3:45:00 PM,.SPX180116P2600,1/16/2018,2600,P,1.779999971,1.779999971,2694.030029,,0.1199,-0.0638,0.001975,-0.282032,0.660316,-6.678247,933,SPXW
180102.SPX180116C2605,1/2/2018,3:45:00 PM,.SPX180116C2605,1/16/2018,2605,C,90.65000153,1.620000005,2694.030029,,0.1126,0.9374,0.00207,-0.260739,0.650048,93.599989,45,SPXW
180102.SPX180116P2605,1/2/2018,3:45:00 PM,.SPX180116P2605,1/16/2018,2605,P,1.879999995,1.879999995,2694.030029,,0.1162,-0.0687,0.002154,-0.289395,0.698679,-7.182035,75,SPXW
180102.SPX180116C2610,1/2/2018,3:45:00 PM,.SPX180116C2610,1/16/2018,2610,C,85.80000305,1.769999981,2694.030029,,0.1097,0.9311,0.00229,-0.273986,0.700828,93.126403,80,SPXW
180102.SPX180116P2610,1/2/2018,3:45:00 PM,.SPX180116P2610,1/16/2018,2610,P,1.970000029,1.970000029,2694.030029,,0.1125,-0.0738,0.002354,-0.295988,0.738575,-7.719181,143,SPXW
180102.SPX180116C2615,1/2/2018,3:45:00 PM,.SPX180116C2615,1/16/2018,2615,C,80.94999695,1.919999957,2694.030029,,0.1066,0.9243,0.002531,-0.285911,0.752667,92.616253,58,SPXW
180102.SPX180116P2615,1/2/2018,3:45:00 PM,.SPX180116P2615,1/16/2018,2615,P,2.119999886,2.119999886,2694.030029,,0.1092,-0.0805,0.00259,-0.306925,0.788993,-8.418824,143,SPXW
180102.SPX180116C2620,1/2/2018,3:45:00 PM,.SPX180116C2620,1/16/2018,2620,C,76.15000153,2.119999886,2694.030029,,0.1039,0.916,0.002812,-0.301635,0.81498,91.931995,28,SPXW
180102.SPX180116P2620,1/2/2018,3:45:00 PM,.SPX180116P2620,1/16/2018,2620,P,2.279999971,2.279999971,2694.030029,,0.1056,-0.0876,0.002853,-0.316596,0.840946,-9.163622,213,SPXW
180102.SPX180116C2625,1/2/2018,3:45:00 PM,.SPX180116C2625,1/16/2018,2625,C,71.19999695,2.170000076,2694.030029,,0.0991,0.9109,0.003081,-0.300591,0.851573,91.595631,10,SPXW
180102.SPX180116P2625,1/2/2018,3:45:00 PM,.SPX180116P2625,1/16/2018,2625,P,2.420000076,2.420000076,2694.030029,,0.1019,-0.0953,0.003146,-0.324883,0.894618,-9.959412,1123,SPXW
180102.SPX180116C2630,1/2/2018,3:45:00 PM,.SPX180116C2630,1/16/2018,2630,C,66.40000153,2.369999886,2694.030029,,0.0958,0.9014,0.003432,-0.313343,0.917562,90.798115,66,SPXW
180102.SPX180116P2630,1/2/2018,3:45:00 PM,.SPX180116P2630,1/16/2018,2630,P,2.619999886,2.619999886,2694.030029,,0.0985,-0.1047,0.003488,-0.33638,0.958452,-10.94351,280,SPXW
180102.SPX180116C2635,1/2/2018,3:45:00 PM,.SPX180116C2635,1/16/2018,2635,C,61.59999847,2.569999933,2694.030029,,0.0923,0.8912,0.003826,-0.324098,0.985268,89.929878,22,SPXW
180102.SPX180116P2635,1/2/2018,3:45:00 PM,.SPX180116P2635,1/16/2018,2635,P,2.880000114,2.880000114,2694.030029,,0.0953,-0.116,0.003881,-0.35032,1.031715,-12.125935,210,SPXW
180102.SPX180116C2640,1/2/2018,3:45:00 PM,.SPX180116C2640,1/16/2018,2640,C,56.95000076,2.920000076,2694.030029,,0.0899,0.8766,0.004297,-0.345294,1.077766,88.590985,120,SPXW
180102.SPX180116P2640,1/2/2018,3:45:00 PM,.SPX180116P2640,1/16/2018,2640,P,3.150000095,3.150000095,2694.030029,,0.092,-0.1287,0.004325,-0.363782,1.109914,-13.454459,658,SPXW
180102.SPX180116C2645,1/2/2018,3:45:00 PM,.SPX180116C2645,1/16/2018,2645,C,52.25,3.220000029,2694.030029,,0.0866,0.8622,0.004814,-0.358984,1.163254,87.279904,72,SPXW
180102.SPX180116P2645,1/2/2018,3:45:00 PM,.SPX180116P2645,1/16/2018,2645,P,3.450000048,3.450000048,2694.030029,,0.0885,-0.143,0.00483,-0.376184,1.192677,-14.94217,467,SPXW
180102.SPX180116C2650,1/2/2018,3:45:00 PM,.SPX180116C2650,1/16/2018,2650,C,47.65000153,3.619999886,2694.030029,,0.0837,0.8443,0.005406,-0.376487,1.262371,85.607154,100,SPXW
180102.SPX180116P2650,1/2/2018,3:45:00 PM,.SPX180116P2650,1/16/2018,2650,P,3.799999952,3.799999952,2694.030029,,0.0851,-0.1596,0.005405,-0.388952,1.283012,-16.673326,1411,SPXW
180102.SPX180116C2655,1/2/2018,3:45:00 PM,.SPX180116C2655,1/16/2018,2655,C,43,3.970000029,2694.030029,,0.0799,0.8261,0.006081,-0.386238,1.356048,83.902474,131,SPXW
180102.SPX180116P2655,1/2/2018,3:45:00 PM,.SPX180116P2655,1/16/2018,2655,P,4.25,4.25,2694.030029,,0.0819,-0.1797,0.006058,-0.404336,1.384802,-18.778813,282,SPXW
180102.SPX180116C2660,1/2/2018,3:45:00 PM,.SPX180116C2660,1/16/2018,2660,C,38.75,4.71999979,2694.030029,,0.0785,0.7978,0.006799,-0.4161,1.488303,81.137912,69,SPXW
180102.SPX180116P2660,1/2/2018,3:45:00 PM,.SPX180116P2660,1/16/2018,2660,P,4.75,4.75,2694.030029,,0.0786,-0.2026,0.006794,-0.417593,1.490464,-21.169048,97,SPXW
180102.SPX180116C2665,1/2/2018,3:45:00 PM,.SPX180116C2665,1/16/2018,2665,C,34.34999847,5.320000172,2694.030029,,0.0752,0.7709,0.007625,-0.429026,1.600403,78.515414,67,SPXW
180102.SPX180116P2665,1/2/2018,3:45:00 PM,.SPX180116P2665,1/16/2018,2665,P,5.349999905,5.349999905,2694.030029,,0.0754,-0.2296,0.007618,-0.430356,1.602138,-23.978769,131,SPXW
180102.SPX180116C2670,1/2/2018,3:45:00 PM,.SPX180116C2670,1/16/2018,2670,C,30.04999924,6.019999981,2694.030029,,0.0719,0.7396,0.008542,-0.439591,1.714679,75.43996,87,SPXW
180102.SPX180116P2670,1/2/2018,3:45:00 PM,.SPX180116P2670,1/16/2018,2670,P,6.050000191,6.050000191,2694.030029,,0.0721,-0.2608,0.008532,-0.440904,1.716148,-27.245488,240,SPXW
180102.SPX180116C2675,1/2/2018,3:45:00 PM,.SPX180116C2675,1/16/2018,2675,C,25.95000076,6.920000076,2694.030029,,0.069,0.7021,0.009506,-0.450328,1.83073,71.712358,97,SPXW
180102.SPX180116P2675,1/2/2018,3:45:00 PM,.SPX180116P2675,1/16/2018,2675,P,6.949999809,6.949999809,2694.030029,,0.0692,-0.2983,0.009492,-0.451463,1.831721,-31.157012,217,SPXW
180102.SPX180116C2680,1/2/2018,3:45:00 PM,.SPX180116C2680,1/16/2018,2680,C,21.95000076,7.920000076,2694.030029,,0.0658,0.6596,0.010555,-0.453718,1.936328,67.463747,104,SPXW
180102.SPX180116P2680,1/2/2018,3:45:00 PM,.SPX180116P2680,1/16/2018,2680,P,7.949999809,7.949999809,2694.030029,,0.0659,-0.3407,0.010537,-0.454755,1.93695,-35.590836,186,SPXW
180102.SPX180116C2685,1/2/2018,3:45:00 PM,.SPX180116C2685,1/16/2018,2685,C,18.25,9.220000267,2694.030029,,0.063,0.6094,0.011536,-0.45509,2.027431,62.414674,445,SPXW
180102.SPX180116P2685,1/2/2018,3:45:00 PM,.SPX180116P2685,1/16/2018,2685,P,9.199999809,9.199999809,2694.030029,,0.0629,-0.3904,0.011557,-0.454134,2.027138,-40.779846,305,SPXW
180102.SPX180116C2690,1/2/2018,3:45:00 PM,.SPX180116C2690,1/16/2018,2690,C,14.80000019,10.77000046,2694.030029,,0.0603,0.5527,0.012426,-0.448488,2.088829,56.669763,137,SPXW
180102.SPX180116P2690,1/2/2018,3:45:00 PM,.SPX180116P2690,1/16/2018,2690,P,10.80000019,10.80000019,2694.030029,,0.0604,-0.4474,0.012401,-0.449421,2.088897,-46.749705,175,SPXW
180102.SPX180116C2695,1/2/2018,3:45:00 PM,.SPX180116C2695,1/16/2018,2695,C,11.69999981,11.69999981,2694.030029,,0.0578,0.4895,0.013062,-0.433898,2.106511,50.246853,121,SPXW
180102.SPX180116P2695,1/2/2018,3:45:00 PM,.SPX180116P2695,1/16/2018,2695,P,12.69999981,11.72999954,2694.030029,,0.0579,-0.5104,0.013035,-0.434811,2.106515,-53.351471,169,SPXW
180102.SPX180116C2700,1/2/2018,3:45:00 PM,.SPX180116C2700,1/16/2018,2700,C,9,9,2694.030029,,0.0557,0.4217,0.0133,-0.410117,2.066565,43.331075,1395,SPXW
180102.SPX180116P2700,1/2/2018,3:45:00 PM,.SPX180116P2700,1/16/2018,2700,P,14.94999981,8.979999542,2694.030029,,0.0556,-0.5784,0.013329,-0.409163,2.066374,-60.479643,437,SPXW
180102.SPX180116C2705,1/2/2018,3:45:00 PM,.SPX180116C2705,1/16/2018,2705,C,6.650000095,6.650000095,2694.030029,,0.0535,0.3511,0.013119,-0.373536,1.958791,36.110009,143,SPXW
180102.SPX180116P2705,1/2/2018,3:45:00 PM,.SPX180116P2705,1/16/2018,2705,P,17.64999962,6.679999828,2694.030029,,0.0536,-0.6485,0.013093,-0.374561,1.95949,-67.840066,43,SPXW
180102.SPX180116C2710,1/2/2018,3:45:00 PM,.SPX180116C2710,1/16/2018,2710,C,4.849999905,4.849999905,2694.030029,,0.0523,0.2838,0.012269,-0.33337,1.78954,29.200987,480,SPXW
180102.SPX180116P2710,1/2/2018,3:45:00 PM,.SPX180116P2710,1/16/2018,2710,P,20.85000038,4.880000114,2694.030029,,0.0524,-0.7157,0.012248,-0.334552,1.791119,-74.922958,30,SPXW
180102.SPX180116C2715,1/2/2018,3:45:00 PM,.SPX180116C2715,1/16/2018,2715,C,3.400000095,3.400000095,2694.030029,,0.051,0.2207,0.011001,-0.284976,1.56671,22.722517,101,SPXW
180102.SPX180116P2715,1/2/2018,3:45:00 PM,.SPX180116P2715,1/16/2018,2715,P,24.39999962,3.430000067,2694.030029,,0.0512,-0.7786,0.010987,-0.286389,1.569615,-81.573794,0,SPXW
180102.SPX180116C2720,1/2/2018,3:45:00 PM,.SPX180116C2720,1/16/2018,2720,C,2.329999924,2.329999924,2694.030029,,0.0502,0.1659,0.009399,-0.235291,1.315897,17.093619,1176,SPXW
180102.SPX180116P2720,1/2/2018,3:45:00 PM,.SPX180116P2720,1/16/2018,2720,P,28.29999924,2.329999924,2694.030029,,0.0502,-0.8341,0.009399,-0.235291,1.315897,-87.468025,10,SPXW
180102.SPX180116C2725,1/2/2018,3:45:00 PM,.SPX180116C2725,1/16/2018,2725,C,1.549999952,1.549999952,2694.030029,,0.0496,0.1207,0.007672,-0.187367,1.060871,12.438932,1751,SPXW
180102.SPX180116P2725,1/2/2018,3:45:00 PM,.SPX180116P2725,1/16/2018,2725,P,32.54999924,1.580000043,2694.030029,,0.0498,-0.8782,0.007685,-0.189389,1.067487,-92.20486,202,SPXW
180102.SPX180116C2730,1/2/2018,3:45:00 PM,.SPX180116C2730,1/16/2018,2730,C,1.019999981,1.019999981,2694.030029,,0.0493,0.0858,0.006016,-0.145485,0.827814,8.847714,335,SPXW
180102.SPX180116P2730,1/2/2018,3:45:00 PM,.SPX180116P2730,1/16/2018,2730,P,37.09999847,1.129999995,2694.030029,,0.0505,-0.909,0.006138,-0.155713,0.865049,-95.561708,12,SPXW
180102.SPX180116C2735,1/2/2018,3:45:00 PM,.SPX180116C2735,1/16/2018,2735,C,0.730000019,0.730000019,2694.030029,,0.0502,0.0631,0.004675,-0.117072,0.654606,6.508834,97,SPXW
180102.SPX180116P2735,1/2/2018,3:45:00 PM,.SPX180116P2735,1/16/2018,2735,P,41.79999924,0.829999983,2694.030029,,0.0516,-0.9313,0.004851,-0.128658,0.699031,-98.055299,0,SPXW
180102.SPX180116C2740,1/2/2018,3:45:00 PM,.SPX180116C2740,1/16/2018,2740,C,0.479999989,0.479999989,2694.030029,,0.0503,0.0437,0.003481,-0.087733,0.489001,4.507728,1307,SPXW
180102.SPX180116P2740,1/2/2018,3:45:00 PM,.SPX180116P2740,1/16/2018,2740,P,46.59999847,0.629999995,2694.030029,,0.0532,-0.9471,0.003841,-0.108088,0.570117,-99.871601,0,SPXW
180102.SPX180116C2745,1/2/2018,3:45:00 PM,.SPX180116C2745,1/16/2018,2745,C,0.349999994,0.349999994,2694.030029,,0.0517,0.0327,0.002674,-0.071182,0.386012,3.373767,52,SPXW
180102.SPX180116P2745,1/2/2018,3:45:00 PM,.SPX180116P2745,1/16/2018,2745,P,51.40000153,0.430000007,2694.030029,,0.0536,-0.9624,0.002896,-0.082634,0.432829,-101.644724,0,SPXW
180102.SPX180116C2750,1/2/2018,3:45:00 PM,.SPX180116C2750,1/16/2018,2750,C,0.25,0.25,2694.030029,,0.0528,0.0238,0.00201,-0.055721,0.29612,2.45426,60,SPXW
180102.SPX180116P2750,1/2/2018,3:45:00 PM,.SPX180116P2750,1/16/2018,2750,P,56.34999847,0.379999995,2694.030029,,0.0566,-0.9677,0.00242,-0.07702,0.381981,-102.384997,0,SPXW
180102.SPX180116C2755,1/2/2018,3:45:00 PM,.SPX180116C2755,1/16/2018,2755,C,0.200000003,0.200000003,2694.030029,,0.0549,0.019,0.001599,-0.047864,0.244787,1.959469,50,SPXW
180102.SPX180116P2755,1/2/2018,3:45:00 PM,.SPX180116P2755,1/16/2018,2755,P,61.25,0.280000001,2694.030029,,0.0576,-0.9759,0.001862,-0.061474,0.299405,-103.421313,0,SPXW
180102.SPX180116C2760,1/2/2018,3:45:00 PM,.SPX180116C2760,1/16/2018,2760,C,0.150000006,0.150000006,2694.030029,,0.0563,0.0143,0.001226,-0.038599,0.192515,1.480025,135,SPXW
180102.SPX180116P2760,1/2/2018,3:45:00 PM,.SPX180116P2760,1/16/2018,2760,P,66.19999695,0.230000004,2694.030029,,0.0597,-0.9804,0.001509,-0.053417,0.251244,-104.079608,0,SPXW
180102.SPX180116C2765,1/2/2018,3:45:00 PM,.SPX180116C2765,1/16/2018,2765,C,0.119999997,0.119999997,2694.030029,,0.0583,0.0116,0.000986,-0.033286,0.16027,1.19726,15,SPXW
180102.SPX180116P2765,1/2/2018,3:45:00 PM,.SPX180116P2765,1/16/2018,2765,P,71.19999695,0.230000004,2694.030029,,0.0635,-0.9814,0.001359,-0.054439,0.240661,-104.371974,0,SPXW
180102.SPX180116C2770,1/2/2018,3:45:00 PM,.SPX180116C2770,1/16/2018,2770,C,0.100000001,0.100000001,2694.030029,,0.0601,0.0093,0.000789,-0.02839,0.132455,0.962053,20,SPXW
180102.SPX180116P2770,1/2/2018,3:45:00 PM,.SPX180116P2770,1/16/2018,2770,P,76.09999847,0.129999995,2694.030029,,0.062,-0.9888,0.000901,-0.034436,0.15589,-105.324332,0,SPXW
180102.SPX180116C2775,1/2/2018,3:45:00 PM,.SPX180116C2775,1/16/2018,2775,C,0.100000001,0.100000001,2694.030029,,0.0638,0.0091,0.000727,-0.029374,0.129284,0.935576,113,SPXW
180102.SPX180116P2775,1/2/2018,3:45:00 PM,.SPX180116P2775,1/16/2018,2775,P,81.09999847,0.129999995,2694.030029,,0.0653,-0.9895,0.000809,-0.03431,0.147431,-105.588744,0,SPXW
180102.SPX180116C2780,1/2/2018,3:45:00 PM,.SPX180116C2780,1/16/2018,2780,C,0.100000001,0.100000001,2694.030029,,0.0671,0.0087,0.000663,-0.029718,0.1242,0.89353,27,SPXW
180102.SPX180116P2780,1/2/2018,3:45:00 PM,.SPX180116P2780,1/16/2018,2780,P,86.09999847,0.129999995,2694.030029,,0.0689,-0.9898,0.000744,-0.035071,0.142914,-105.819307,0,SPXW
180102.SPX180116C2785,1/2/2018,3:45:00 PM,.SPX180116C2785,1/16/2018,2785,C,0.079999998,0.079999998,2694.030029,,0.0681,0.0066,0.000513,-0.023658,0.097441,0.678389,5,SPXW
180102.SPX180116P2785,1/2/2018,3:45:00 PM,.SPX180116P2785,1/16/2018,2785,P,91.05000305,0.079999998,2694.030029,,0.0682,-0.9934,0.000514,-0.023738,0.097724,-106.379747,0,SPXW
180102.SPX180116C2790,1/2/2018,3:45:00 PM,.SPX180116C2790,1/16/2018,2790,C,0.079999998,0.079999998,2694.030029,,0.0713,0.0063,0.00047,-0.023805,0.093633,0.64838,3,SPXW
180102.SPX180116P2790,1/2/2018,3:45:00 PM,.SPX180116P2790,1/16/2018,2790,P,96.05000305,0.079999998,2694.030029,,0.0711,-0.9939,0.000462,-0.023212,0.091618,-106.619899,0,SPXW
180102.SPX180116C2795,1/2/2018,3:45:00 PM,.SPX180116C2795,1/16/2018,2795,C,0.079999998,0.079999998,2694.030029,,0.0745,0.006,0.000433,-0.02394,0.090139,0.621027,0,SPXW
180102.SPX180116P2795,1/2/2018,3:45:00 PM,.SPX180116P2795,1/16/2018,2795,P,101.0500031,0.079999998,2694.030029,,0.0742,-0.9942,0.000424,-0.023224,0.087805,-106.841836,0,SPXW
180102.SPX180116C2800,1/2/2018,3:45:00 PM,.SPX180116C2800,1/16/2018,2800,C,0.050000001,0.050000001,2694.030029,,0.0743,0.0041,0.000311,-0.0171,0.064563,0.427032,12,SPXW
180102.SPX180116P2800,1/2/2018,3:45:00 PM,.SPX180116P2800,1/16/2018,2800,P,106.0500031,0.079999998,2694.030029,,0.0777,-0.9942,0.000401,-0.024035,0.086823,-107.041764,0,SPXW
180102.SPX180116C2805,1/2/2018,3:45:00 PM,.SPX180116C2805,1/16/2018,2805,C,0.050000001,0.050000001,2694.030029,,0.0773,0.0039,0.000286,-0.016997,0.061733,0.406118,0,SPXW
180102.SPX180116P2805,1/2/2018,3:45:00 PM,.SPX180116P2805,1/16/2018,2805,P,111.0500031,0.079999998,2694.030029,,0.0808,-0.9945,0.00037,-0.02401,0.083427,-107.260225,0,SPXW
180102.SPX180116C2810,1/2/2018,3:45:00 PM,.SPX180116C2810,1/16/2018,2810,C,0.050000001,0.050000001,2694.030029,,0.0804,0.0038,0.000269,-0.017297,0.060368,0.396036,0,SPXW
180102.SPX180116P2810,1/2/2018,3:45:00 PM,.SPX180116P2810,1/16/2018,2810,P,116.0999985,0.129999995,2694.030029,,0.0891,-0.9919,0.000472,-0.037265,0.117341,-107.185031,0,SPXW
180102.SPX180116C2815,1/2/2018,3:45:00 PM,.SPX180116C2815,1/16/2018,2815,C,0.050000001,0.050000001,2694.030029,,0.0833,0.0037,0.000249,-0.017151,0.057792,0.377177,0,SPXW
180102.SPX180116P2815,1/2/2018,3:45:00 PM,.SPX180116P2815,1/16/2018,2815,P,121.0500031,0.079999998,2694.030029,,0.087,-0.9948,0.000323,-0.024335,0.078458,-107.682797,0,SPXW
180102.SPX180116C2820,1/2/2018,3:45:00 PM,.SPX180116C2820,1/16/2018,2820,C,0.050000001,0.050000001,2694.030029,,0.0863,0.0035,0.000233,-0.017225,0.056031,0.364338,0,SPXW
180102.SPX180116P2820,1/2/2018,3:45:00 PM,.SPX180116P2820,1/16/2018,2820,P,126.0500031,0.079999998,2694.030029,,0.0902,-0.995,0.000303,-0.024508,0.076278,-107.891638,0,SPXW
180102.SPX180116C2825,1/2/2018,3:45:00 PM,.SPX180116C2825,1/16/2018,2825,C,0.050000001,0.050000001,2694.030029,,0.0892,0.0034,0.000218,-0.017234,0.054217,0.351172,7,SPXW
180102.SPX180116P2825,1/2/2018,3:45:00 PM,.SPX180116P2825,1/16/2018,2825,P,131.0500031,0.079999998,2694.030029,,0.0933,-0.9951,0.000287,-0.024837,0.074664,-108.096128,0,SPXW
180102.SPX180116C2830,1/2/2018,3:45:00 PM,.SPX180116C2830,1/16/2018,2830,C,0.050000001,0.050000001,2694.030029,,0.0924,0.0034,0.000208,-0.0177,0.053752,0.34776,0,SPXW
180102.SPX180116P2830,1/2/2018,3:45:00 PM,.SPX180116P2830,1/16/2018,2830,P,136.0500031,0.079999998,2694.030029,,0.0963,-0.9953,0.000269,-0.024788,0.072209,-108.306892,0,SPXW
180102.SPX180116C2840,1/2/2018,3:45:00 PM,.SPX180116C2840,1/16/2018,2840,C,0.050000001,0.050000001,2694.030029,,0.0983,0.0032,0.000186,-0.017896,0.051076,0.328459,0,SPXW
180102.SPX180116P2840,1/2/2018,3:45:00 PM,.SPX180116P2840,1/16/2018,2840,P,145.75,-0.219999999,2694.030029,,0,-0.9944,0.000284,-0.031782,0.084006,-108.623697,0,SPXW
180102.SPX180116C2850,1/2/2018,3:45:00 PM,.SPX180116C2850,1/16/2018,2850,C,0.050000001,0.050000001,2694.030029,,0.1042,0.003,0.000167,-0.018076,0.048689,0.311352,191,SPXW
180102.SPX180116P2850,1/2/2018,3:45:00 PM,.SPX180116P2850,1/16/2018,2850,P,156,0.029999999,2694.030029,,0.0968,-0.9984,0.000099,-0.009247,0.026795,-109.39785,0,SPXW
180102.SPX180116C2860,1/2/2018,3:45:00 PM,.SPX180116C2860,1/16/2018,2860,C,0.050000001,0.050000001,2694.030029,,0.1099,0.0029,0.000151,-0.018145,0.046321,0.294511,0,SPXW
180102.SPX180116P2860,1/2/2018,3:45:00 PM,.SPX180116P2860,1/16/2018,2860,P,166,0.029999999,2694.030029,,0.1028,-0.9984,0.000093,-0.009801,0.026748,-109.782635,0,SPXW
180102.SPX180116C2875,1/2/2018,3:45:00 PM,.SPX180116C2875,1/16/2018,2875,C,0.050000001,0.050000001,2694.030029,,0.1184,0.0027,0.000131,-0.018238,0.043212,0.272562,0,SPXW
180102.SPX180116P2875,1/2/2018,3:45:00 PM,.SPX180116P2875,1/16/2018,2875,P,180.9499969,-0.02,2694.030029,,0,-0.9934,0.000261,-0.046413,0.0974,-109.872107,0,SPXW
180102.SPX180116C2900,1/2/2018,3:45:00 PM,.SPX180116C2900,1/16/2018,2900,C,0.029999999,0.029999999,2694.030029,,0.1256,0.0014,0.000071,-0.011161,0.024932,0.148741,0,SPXW
180102.SPX180116P2900,1/2/2018,3:45:00 PM,.SPX180116P2900,1/16/2018,2900,P,205.9499969,-0.02,2694.030029,,0,-0.9976,0.000108,-0.019033,0.040047,-111.252843,0,SPXW
180102.SPX180116C2950,1/2/2018,3:45:00 PM,.SPX180116C2950,1/16/2018,2950,C,0.029999999,0.029999999,2694.030029,,0.152,0.0012,0.00005,-0.011579,0.021372,0.1255,0,SPXW
180102.SPX180116P2950,1/2/2018,3:45:00 PM,.SPX180116P2950,1/16/2018,2950,P,255.9499969,-0.02,2694.030029,,0,-0.9963,0.000121,-0.035533,0.057902,-113.055288,0,SPXW
180102.SPX180116C3000,1/2/2018,3:45:00 PM,.SPX180116C3000,1/16/2018,3000,C,0.029999999,0.029999999,2694.030029,,0.1764,0.001,0.000036,-0.011061,0.017599,0.101412,0,SPXW
180102.SPX180116P3000,1/2/2018,3:45:00 PM,.SPX180116P3000,1/16/2018,3000,P,305.8500061,-0.119999997,2694.030029,,0,-0.9983,0.000056,-0.019598,0.029395,-115.176287,0,SPXW
180102.SPX180117C1600,1/2/2018,3:45:00 PM,.SPX180117C1600,1/17/2018,1600,C,1093.150024,-0.5,2693.649902,,0,0.9961,0.000021,-0.20775,0.063742,66.357002,0,SPXW
180102.SPX180117P1600,1/2/2018,3:45:00 PM,.SPX180117P1600,1/17/2018,1600,P,0.029999999,0.029999999,2693.649902,,0.7453,-0.0002,0.000002,-0.011,0.004437,-0.024816,0,SPXW
180102.SPX180117C1700,1/2/2018,3:45:00 PM,.SPX180117C1700,1/17/2018,1700,C,993.25,-0.400000006,2693.649902,,0,0.9995,0.000005,-0.021958,0.009611,70.944185,0,SPXW
180102.SPX180117P1700,1/2/2018,3:45:00 PM,.SPX180117P1700,1/17/2018,1700,P,0.029999999,0.029999999,2693.649902,,0.6627,-0.0002,0.000002,-0.010861,0.004927,-0.027648,0,SPXW
180102.SPX180117C1750,1/2/2018,3:45:00 PM,.SPX180117C1750,1/17/2018,1750,C,943.25,-0.400000006,2693.649902,,0,0.9946,0.000033,-0.238225,0.085002,72.448617,0,SPXW
180102.SPX180117P1750,1/2/2018,3:45:00 PM,.SPX180117P1750,1/17/2018,1750,P,0.029999999,0.029999999,2693.649902,,0.6252,-0.0003,0.000003,-0.011262,0.005415,-0.030543,0,SPXW
180102.SPX180117C1800,1/2/2018,3:45:00 PM,.SPX180117C1800,1/17/2018,1800,C,893.2999878,-0.349999994,2693.649902,,0,0.994,0.000038,-0.247419,0.093247,74.46824,0,SPXW
180102.SPX180117P1800,1/2/2018,3:45:00 PM,.SPX180117P1800,1/17/2018,1800,P,0.029999999,0.029999999,2693.649902,,0.5845,-0.0003,0.000003,-0.010695,0.005501,-0.030998,0,SPXW
180102.SPX180117C1850,1/2/2018,3:45:00 PM,.SPX180117C1850,1/17/2018,1850,C,843.3499756,-0.300000012,2693.649902,,0,0.9934,0.000044,-0.25611,0.102213,76.48097,0,SPXW
180102.SPX180117P1850,1/2/2018,3:45:00 PM,.SPX180117P1850,1/17/2018,1850,P,0.029999999,0.029999999,2693.649902,,0.5492,-0.0003,0.000004,-0.01118,0.00612,-0.034701,0,SPXW
180102.SPX180117C1900,1/2/2018,3:45:00 PM,.SPX180117C1900,1/17/2018,1900,C,793.4000244,-0.25,2693.649902,,0,0.9929,0.00005,-0.253719,0.108201,78.519528,0,SPXW
